Name,HOMFLY (vector)
10_99,{0; 4; {-1; 1; -4; 9; -4}; {-1; 1; -6; 16; -6}; {-1; 1; -4; 14; -4}; {-1; 1; -1; 6; -1}; {0; 0; 1}}
10_100,{0; 4; {-3; -1; -3; 5; -1}; {-3; -1; -5; 13; -4}; {-3; -1; -4; 13; -4}; {-3; -1; -1; 6; -1}; {-2; -2; 1}}
10_101,{0; 2; {3; 6; 2; 2; -4; 1}; {2; 5; 1; 5; 5; -4}; {2; 4; 1; 3; 3}}
10_102,{0; 3; {-1; 2; 1; 0; -1; 1}; {-1; 2; 2; -3; -3; 2}; {-1; 2; 1; -3; -3; 1}; {0; 1; -1; -1}}
10_103,{0; 3; {-3; 0; -1; 0; 3; -1}; {-3; 0; -2; 3; 4; -2}; {-3; 0; -1; 3; 3; -1}; {-2; -1; 1; 1}}
10_104,{0; 4; {-1; 1; -1; 3; -1}; {-1; 1; -5; 11; -5}; {-1; 1; -4; 13; -4}; {-1; 1; -1; 6; -1}; {0; 0; 1}}
10_105,{0; 3; {-1; 1; 1; -1; 1}; {-1; 3; 1; -3; 2; -2; 1}; {0; 2; -2; 2; -2}; {1; 1; 1}}
10_106,{0; 4; {0; 2; 2; -2; 1}; {0; 2; 5; -11; 5}; {0; 2; 4; -13; 4}; {0; 2; 1; -6; 1}; {1; 1; -1}}
10_107,{0; 3; {-2; -1; -1; 2}; {-2; 2; -1; 3; -2; 2; -1}; {-1; 1; 2; -2; 2}; {0; 0; -1}}
10_108,{0; 3; {0; 0; 1}; {-1; 2; -2; 2; 2; -2}; {-1; 2; -1; 3; 3; -1}; {0; 1; 1; 1}}
10_109,{0; 4; {-1; 1; -3; 7; -3}; {-1; 1; -6; 15; -6}; {-1; 1; -4; 14; -4}; {-1; 1; -1; 6; -1}; {0; 0; 1}}
10_110,{0; 3; {-1; 3; 1; 0; 0; -1; 1}; {-1; 3; 1; -3; 1; -3; 1}; {0; 2; -2; 2; -2}; {1; 1; 1}}
10_111,{0; 3; {1; 4; 1; 2; -3; 1}; {1; 4; 2; 1; -4; 2}; {1; 4; 1; -2; -3; 1}; {2; 3; -1; -1}}
10_112,{0; 4; {-2; 0; -2; 4; -1}; {-2; 0; 1; 0; 1}; {-2; 0; 3; -7; 3}; {-2; 0; 1; -5; 1}; {-1; -1; -1}}
10_113,{0; 3; {1; 3; 3; -3; 1}; {0; 2; -1; 3; -2}; {0; 3; -1; 2; 1; -1}; {1; 2; 1; 1}}
10_114,{0; 3; {-2; -1; -1; 2}; {-2; 1; 1; 0; -1; 1}; {-2; 1; 1; -2; -2; 1}; {-1; 0; -1; -1}}
10_115,{0; 3; {-1; 1; -1; 3; -1}; {-2; 2; -1; 1; 1; 1; -1}; {-1; 1; 2; -1; 2}; {0; 0; -1}}
10_116,{0; 4; {0; 0; 1}; {-2; 0; 2; -4; 2}; {-2; 0; 3; -8; 3}; {-2; 0; 1; -5; 1}; {-1; -1; -1}}
10_117,{0; 3; {-3; -1; -1; 1; 1}; {-3; 0; -1; 2; 2; -1}; {-3; 0; -1; 2; 2; -1}; {-2; -1; 1; 1}}
10_118,{0; 4; {0; 0; 1}; {-1; 1; -2; 4; -2}; {-1; 1; -3; 8; -3}; {-1; 1; -1; 5; -1}; {0; 0; 1}}
10_119,{0; 3; {-1; 1; 1; -1; 1}; {-2; 1; 1; -1; -2; 1}; {-2; 1; 1; -2; -2; 1}; {-1; 0; -1; -1}}
10_120,{0; 2; {3; 6; 3; 0; -3; 1}; {3; 5; 7; 3; -4}; {2; 4; 1; 4; 3}}
10_121,{0; 3; {0; 3; 1; -1; 2; -1}; {1; 3; -1; 3; -1}; {0; 3; -1; 1; 2; -1}; {1; 2; 1; 1}}
10_122,{0; 3; {-2; 0; -2; 4; -1}; {-1; 1; 3; -2; 1}; {-2; 1; 1; -1; -2; 1}; {-1; 0; -1; -1}}
10_123,{0; 4; {-1; 1; 2; -3; 2}; {-1; 1; 1; -4; 1}; {-1; 1; -2; 3; -2}; {-1; 1; -1; 4; -1}; {0; 0; 1}}
10_124,{0; 4; {4; 6; 7; -8; 2}; {4; 6; 21; -14; 1}; {4; 5; 21; -7}; {4; 5; 8; -1}; {4; 4; 1}}
10_125,{0; 3; {-1; 1; -3; 7; -3}; {-1; 1; -4; 11; -4}; {-1; 1; -1; 6; -1}; {0; 0; 1}}
10_126,{0; 3; {-3; -1; -4; 7; -2}; {-3; -1; -4; 12; -3}; {-3; -1; -1; 6; -1}; {-2; -2; 1}}
10_127,{0; 3; {2; 4; 5; -6; 2}; {2; 4; 7; -9; 3}; {2; 4; 2; -5; 1}; {3; 3; -1}}
10_128,{0; 3; {3; 6; 2; 2; -4; 1}; {3; 5; 6; 6; -5}; {3; 5; 5; 5; -1}; {3; 4; 1; 1}}
10_129,{0; 2; {-1; 2; -1; 2; 1; -1}; {-1; 2; -1; 2; 2; -1}; {0; 1; 1; 1}}
10_130,{0; 2; {-3; 0; -2; 2; 2; -1}; {-3; 0; -1; 3; 3; -1}; {-2; -1; 1; 1}}
10_131,{0; 2; {1; 4; 2; 0; -2; 1}; {1; 4; 2; -1; -2; 1}; {2; 3; -1; -1}}
10_132,{0; 2; {-3; -2; -2; 3}; {-3; -2; -1; 4}; {-2; -2; 1}}
10_133,{0; 2; {1; 4; 1; 2; -3; 1}; {1; 4; 1; 2; -3; 1}; {3; 3; -1}}
10_134,{0; 3; {3; 6; 3; 0; -3; 1}; {3; 5; 7; 3; -4}; {3; 5; 5; 4; -1}; {3; 4; 1; 1}}
10_135,{0; 2; {-1; 2; -2; 4; 0; -1}; {-1; 2; -2; 5; 1; -1}; {0; 1; 2; 1}}
10_136,{0; 2; {-2; 1; -1; 3; -2; 1}; {-1; 1; 2; -3; 1}; {0; 0; -1}}
10_137,{0; 2; {-1; 3; 1; -1; 2; -2; 1}; {0; 2; -2; 2; -2}; {1; 1; 1}}
10_138,{0; 3; {-1; 3; 2; -3; 3; -2; 1}; {-1; 2; 1; -6; 5; -3}; {0; 2; -2; 4; -1}; {1; 1; 1}}
10_139,{0; 4; {4; 6; 6; -6; 1}; {4; 6; 21; -13; 1}; {4; 5; 21; -7}; {4; 5; 8; -1}; {4; 4; 1}}
10_140,{0; 2; {0; 3; 1; -2; 4; -2}; {1; 3; -1; 4; -1}; {2; 2; 1}}
10_141,{0; 3; {0; 2; 2; -2; 1}; {0; 2; 3; -7; 3}; {0; 2; 1; -5; 1}; {1; 1; -1}}
10_142,{0; 3; {3; 6; 1; 4; -5; 1}; {3; 5; 6; 7; -5}; {3; 5; 5; 5; -1}; {3; 4; 1; 1}}
10_143,{0; 3; {-3; -2; -2; 3}; {-3; -1; -3; 8; -2}; {-3; -1; -1; 5; -1}; {-2; -2; 1}}
10_144,{0; 2; {0; 2; 3; -4; 2}; {0; 3; 2; -5; 0; 1}; {1; 2; -2; -1}}
10_145,{0; 2; {-5; -2; -1; 1; -1; 2}; {-4; -2; 1; 0; 4}; {-2; -2; 1}}
10_146,{0; 2; {0; 0; 1}; {-2; 1; -1; 1; 1; -1}; {-1; 0; 1; 1}}
10_147,{0; 2; {-1; 1; 1; -1; 1}; {-1; 2; 1; -2; -1; 1}; {0; 1; -1; -1}}
10_148,{0; 3; {-3; -1; -3; 5; -1}; {-3; -1; -3; 9; -2}; {-3; -1; -1; 5; -1}; {-2; -2; 1}}
10_149,{0; 3; {2; 4; 4; -4; 1}; {2; 4; 6; -6; 2}; {2; 4; 2; -4; 1}; {3; 3; -1}}
10_150,{0; 3; {1; 2; 2; -1}; {1; 3; 3; -4; 2}; {1; 3; 1; -4; 1}; {2; 2; -1}}
10_151,{0; 3; {-3; 0; -1; 0; 3; -1}; {-2; 0; -1; 6; -2}; {-2; 0; -1; 4; -1}; {-1; -1; 1}}
10_152,{0; 4; {4; 6; 8; -10; 3}; {4; 6; 22; -17; 2}; {4; 5; 21; -8}; {4; 5; 8; -1}; {4; 4; 1}}
10_153,{0; 3; {-2; 1; -1; -1; 6; -3}; {-2; 1; -1; -1; 10; -4}; {0; 1; 6; -1}; {0; 0; 1}}
10_154,{0; 3; {3; 6; 4; -2; -2; 1}; {3; 5; 9; -2; -2}; {3; 3; 6}; {3; 3; 1}}
10_155,{0; 3; {-2; 0; 2; -4; 3}; {-2; 0; 3; -8; 3}; {-2; 0; 1; -5; 1}; {-1; -1; -1}}
10_156,{0; 3; {-2; -1; -1; 2}; {-2; 0; -2; 5; -2}; {-2; 0; -1; 4; -1}; {-1; -1; 1}}
10_157,{0; 3; {-4; -2; -1; 0; 2}; {-4; -2; 1; -2; 5}; {-4; -2; 1; -3; 2}; {-3; -3; -1}}
10_158,{0; 3; {-1; 2; 2; -2; 0; 1}; {-1; 1; 2; -6; 1}; {-1; 1; 1; -4; 1}; {0; 0; -1}}
10_159,{0; 3; {1; 3; 1; 1; -1}; {1; 3; -1; 5; -2}; {1; 3; -1; 4; -1}; {2; 2; 1}}
10_160,{0; 3; {1; 4; 1; 0; 1; -1}; {1; 3; 3; -3; 3}; {1; 3; 1; -4; 1}; {2; 2; -1}}
10_161,{0; 3; {3; 5; 3; -1; -1}; {3; 5; 9; -1; -1}; {3; 3; 6}; {3; 3; 1}}
10_162,{0; 2; {-3; 0; 1; 0; -3; 3}; {-3; 0; 1; -1; -5; 2}; {-2; -1; -1; -2}}
10_163,{0; 3; {0; 3; 1; -1; 2; -1}; {0; 1; -1; 2}; {0; 2; -1; 3; -1}; {1; 1; 1}}
10_164,{0; 2; {-1; 1; -1; 3; -1}; {-2; 1; -1; 0; 4; -2}; {-1; 0; 1; 2}}
10_165,{0; 2; {-3; -1; -1; 1; 1}; {-4; -1; 1; -1; 0; 2}; {-3; -2; -1; -1}}
11a_1,{0; 3; {-1; 3; 1; -1; 0; 2; -1}; {-1; 3; 1; -3; 0; 3; -1}; {0; 3; -2; 1; 2; -1}; {1; 2; 1; 1}}
11a_2,{0; 3; {1; 5; 1; 2; -4; 3; -1}; {1; 5; 2; 2; -7; 6; -1}; {1; 4; 1; -1; -6; 3}; {2; 3; -1; -2}}
11a_3,{0; 4; {-3; 0; -3; 8; -7; 3}; {-3; 0; -3; 15; -17; 6}; {-3; 0; -1; 9; -15; 4}; {-2; 0; 2; -6; 1}; {-1; -1; -1}}
11a_4,{0; 3; {-3; 1; -1; 2; 0; -1; 1}; {-3; 1; -1; 4; -1; -4; 2}; {-2; 1; 2; -2; -3; 1}; {-1; 0; -1; -1}}
11a_5,{0; 3; {-3; 1; 1; -2; 3; -3; 2}; {-2; 2; -3; 4; -5; 2; -1}; {-1; 1; 3; -2; 2}; {0; 0; -1}}
11a_6,{0; 3; {-1; 3; 1; -1; 2; -2; 1}; {-1; 2; 1; -3; 1; -1}; {0; 3; -2; 1; 1; -1}; {1; 2; 1; 1}}
11a_7,{0; 4; {-3; 0; -2; 6; -6; 3}; {-3; 0; -3; 13; -15; 5}; {-3; 0; -1; 9; -14; 4}; {-2; 0; 2; -6; 1}; {-1; -1; -1}}
11a_8,{0; 3; {-3; 1; -1; 3; -2; 0; 1}; {-3; 1; -1; 4; -3; -2; 1}; {-2; 1; 2; -2; -2; 1}; {-1; 0; -1; -1}}
11a_9,{0; 4; {0; 3; 3; -6; 6; -2}; {0; 3; 4; -14; 14; -4}; {0; 3; 1; -10; 13; -4}; {1; 3; -2; 6; -1}; {2; 2; 1}}
11a_10,{0; 3; {-1; 3; 1; 0; -2; 3; -1}; {-1; 3; 1; -3; -2; 5; -2}; {0; 3; -2; 1; 3; -1}; {1; 2; 1; 1}}
11a_11,{0; 3; {-2; 1; -1; 3; -2; 1}; {-2; 2; -1; 4; -3; -1; 1}; {-1; 2; 2; -2; -2; 1}; {0; 1; -1; -1}}
11a_12,{0; 3; {-1; 1; 2; -3; 2}; {-1; 3; 1; -5; 2; 1; -1}; {0; 3; -2; 2; 2; -1}; {1; 2; 1; 1}}
11a_13,{0; 2; {-2; 2; 1; -1; 1; -1; 1}; {-1; 3; -2; 0; -1; 1; -1}; {0; 2; 1; 1; 1}}
11a_14,{0; 4; {-1; 2; -4; 10; -6; 1}; {-1; 2; -7; 20; -12; 2}; {-1; 2; -4; 16; -8; 1}; {-1; 1; -1; 6; -2}; {0; 0; 1}}
11a_15,{0; 4; {-2; 1; 3; -8; 8; -2}; {-2; 1; 6; -18; 14; -3}; {-2; 1; 4; -15; 9; -1}; {-2; 0; 1; -6; 2}; {-1; -1; -1}}
11a_16,{0; 3; {-2; 2; 2; -3; 0; 3; -1}; {-2; 2; 2; -5; -2; 4; -1}; {-2; 1; 1; -3; -2; 2}; {-1; 0; -1; -1}}
11a_17,{0; 3; {-1; 4; 1; 0; -1; 0; 2; -1}; {-1; 3; 1; -2; 0; -3; 3}; {0; 2; -2; 1; -3}; {1; 1; 1}}
11a_18,{0; 3; {0; 4; -1; 1; 5; -5; 1}; {0; 4; -2; 2; 10; -7; 1}; {0; 3; -1; 2; 7; -3}; {1; 2; 1; 2}}
11a_19,{0; 4; {0; 3; 3; -5; 4; -1}; {0; 3; 4; -12; 9; -2}; {0; 3; 3; -11; 7; -1}; {0; 2; 1; -5; 2}; {1; 1; -1}}
11a_20,{0; 3; {1; 5; 2; 1; -5; 4; -1}; {1; 5; 3; 0; -9; 7; -1}; {1; 4; 1; -2; -7; 3}; {2; 3; -1; -2}}
11a_21,{0; 2; {0; 5; 1; 1; -1; -2; 3; -1}; {0; 4; 1; 0; -2; -3; 3}; {1; 3; -1; -2; -2}}
11a_22,{0; 4; {1; 4; -2; 9; -8; 2}; {1; 4; -5; 19; -14; 3}; {1; 4; -4; 15; -9; 1}; {1; 3; -1; 6; -2}; {2; 2; 1}}
11a_23,{0; 3; {0; 4; -1; 3; 1; -3; 1}; {0; 4; -2; 5; 2; -4; 1}; {0; 3; -1; 3; 2; -2}; {1; 2; 1; 1}}
11a_24,{0; 4; {-1; 2; -2; 6; -4; 1}; {-1; 2; -4; 12; -9; 2}; {-1; 2; -3; 11; -7; 1}; {-1; 1; -1; 5; -2}; {0; 0; 1}}
11a_25,{0; 4; {0; 3; 3; -5; 4; -1}; {0; 3; 4; -12; 9; -2}; {0; 3; 3; -11; 7; -1}; {0; 2; 1; -5; 2}; {1; 1; -1}}
11a_26,{0; 4; {-1; 2; -2; 6; -4; 1}; {-1; 2; -4; 12; -9; 2}; {-1; 2; -3; 11; -7; 1}; {-1; 1; -1; 5; -2}; {0; 0; 1}}
11a_27,{0; 3; {-3; -1; 1; -3; 3}; {-4; 0; 1; -1; -3; 4; -1}; {-3; 0; -2; 0; 2; -1}; {-2; -1; 1; 1}}
11a_28,{0; 4; {-2; 0; 2; -4; 3}; {-2; 1; 3; -10; 7; -2}; {-2; 1; 1; -8; 9; -3}; {-1; 1; -2; 5; -1}; {0; 0; 1}}
11a_29,{0; 3; {-3; 1; 1; -1; 0; 0; 1}; {-3; 1; 1; -3; -1; 1; -1}; {-2; 1; -2; 1; 2; -1}; {-1; 0; 1; 1}}
11a_30,{0; 3; {0; 2; 2; -2; 1}; {-2; 2; -1; 1; 2; -4; 1}; {-1; 2; 2; 0; -2; 1}; {0; 1; -1; -1}}
11a_31,{0; 3; {1; 5; 1; 3; -6; 4; -1}; {1; 5; 2; 3; -10; 7; -1}; {1; 4; 1; -1; -7; 3}; {2; 3; -1; -2}}
11a_32,{0; 3; {1; 4; -1; 6; -5; 1}; {0; 4; -1; -1; 11; -7; 1}; {0; 3; -1; 1; 7; -3}; {1; 2; 1; 2}}
11a_33,{0; 4; {-2; 1; 2; -6; 7; -2}; {-2; 1; 5; -15; 13; -3}; {-2; 1; 4; -14; 9; -1}; {-2; 0; 1; -6; 2}; {-1; -1; -1}}
11a_34,{0; 4; {0; 3; 4; -7; 5; -1}; {0; 3; 6; -17; 11; -2}; {0; 3; 4; -15; 8; -1}; {0; 2; 1; -6; 2}; {1; 1; -1}}
11a_35,{0; 4; {-1; 2; -3; 8; -5; 1}; {-1; 2; -6; 17; -11; 2}; {-1; 2; -4; 15; -8; 1}; {-1; 1; -1; 6; -2}; {0; 0; 1}}
11a_36,{0; 3; {-1; 2; -1; 2; 1; -1}; {-2; 2; 1; -2; 1; 3; -1}; {-2; 1; 1; -2; -1; 2}; {-1; 0; -1; -1}}
11a_37,{0; 3; {-1; 3; 2; -1; -3; 4; -1}; {-1; 3; 2; -4; -5; 5; -1}; {-1; 2; 1; -3; -3; 2}; {0; 1; -1; -1}}
11a_38,{0; 3; {-2; 2; 2; -4; 2; 2; -1}; {-2; 2; 2; -6; 1; 3; -1}; {-2; 1; 1; -3; -1; 2}; {-1; 0; -1; -1}}
11a_39,{0; 3; {-1; 3; 1; 1; -5; 6; -2}; {-1; 3; 2; 0; -11; 9; -1}; {-1; 2; 1; -2; -8; 3}; {0; 1; -1; -2}}
11a_40,{0; 4; {1; 4; -1; 7; -7; 2}; {1; 4; -4; 16; -13; 3}; {1; 4; -4; 14; -9; 1}; {1; 3; -1; 6; -2}; {2; 2; 1}}
11a_41,{0; 3; {1; 4; 1; 2; -3; 1}; {0; 4; -1; 2; 3; -4; 1}; {0; 3; -1; 2; 2; -2}; {1; 2; 1; 1}}
11a_42,{0; 3; {-1; 4; 1; -1; 2; -3; 3; -1}; {-1; 3; 1; -3; 3; -5; 3}; {0; 2; -2; 2; -3}; {1; 1; 1}}
11a_43,{0; 3; {3; 7; 1; 7; -12; 6; -1}; {3; 6; 3; 16; -17; 4}; {3; 5; 3; 12; -6}; {3; 4; 1; 3}}
11a_44,{0; 4; {-1; 2; -5; 13; -9; 2}; {-1; 2; -7; 22; -15; 3}; {-1; 2; -4; 16; -9; 1}; {-1; 1; -1; 6; -2}; {0; 0; 1}}
11a_45,{0; 2; {-1; 4; 1; 1; -3; 1; 2; -1}; {-1; 3; 1; 0; -5; -1; 3}; {0; 2; -1; -3; -2}}
11a_46,{0; 3; {-1; 3; -1; 1; 4; -4; 1}; {-1; 3; -2; 3; 5; -5; 1}; {-1; 2; -1; 3; 3; -2}; {0; 1; 1; 1}}
11a_47,{0; 4; {-1; 2; -5; 13; -9; 2}; {-1; 2; -7; 22; -15; 3}; {-1; 2; -4; 16; -9; 1}; {-1; 1; -1; 6; -2}; {0; 0; 1}}
11a_48,{0; 3; {-5; -1; -1; 1; 0; 0; 1}; {-5; -1; -1; 3; 1; -1; 2}; {-4; -1; 2; -1; -2; 1}; {-3; -2; -1; -1}}
11a_49,{0; 3; {1; 5; 2; 0; -4; 5; -2}; {1; 5; 3; 0; -8; 8; -1}; {1; 4; 1; -2; -7; 3}; {2; 3; -1; -2}}
11a_50,{0; 2; {0; 5; 1; 0; 0; -1; 2; -1}; {0; 4; 1; 0; -1; -2; 3}; {1; 3; -1; -2; -2}}
11a_51,{0; 3; {-4; 1; -1; 2; -2; 3; -2; 1}; {-3; 1; 3; -4; 4; -3; 1}; {-2; 0; -3; 2; -2}; {-1; -1; 1}}
11a_52,{0; 3; {-2; 2; -1; 2; -1; 2; -1}; {-2; 1; -1; 3; -1; 1}; {-1; 2; 2; -1; -1; 1}; {0; 1; -1; -1}}
11a_53,{0; 4; {-4; -1; 1; -2; 0; 2}; {-4; -2; 3; -8; 5}; {-4; -1; 1; -8; 8; -3}; {-3; -1; -2; 5; -1}; {-2; -2; 1}}
11a_54,{0; 3; {-4; 0; 1; -2; 1; 0; 1}; {-4; -2; 1; -3; 1}; {-3; 0; -2; 1; 1; -1}; {-2; -1; 1; 1}}
11a_55,{0; 4; {-2; 1; 1; -5; 8; -3}; {-2; 1; 4; -13; 15; -4}; {-2; 1; 4; -13; 10; -1}; {-2; 0; 1; -6; 2}; {-1; -1; -1}}
11a_56,{0; 3; {-2; 2; 1; -3; 3; 1; -1}; {-2; 2; 2; -5; 2; 3; -1}; {-2; 1; 1; -3; -1; 2}; {-1; 0; -1; -1}}
11a_57,{0; 4; {-2; 1; 3; -10; 12; -4}; {-2; 1; 6; -19; 18; -4}; {-2; 1; 4; -15; 10; -1}; {-2; 0; 1; -6; 2}; {-1; -1; -1}}
11a_58,{0; 3; {-2; 2; 1; -1; -2; 5; -2}; {-2; 2; 2; -3; -4; 6; -1}; {-2; 1; 1; -3; -3; 2}; {-1; 0; -1; -1}}
11a_59,{0; 2; {-2; 3; 1; -1; 0; 0; 2; -1}; {-2; 2; 1; -2; -1; -1; 2}; {-1; 1; -1; -1; -1}}
11a_60,{0; 3; {1; 5; 1; 2; -5; 5; -2}; {1; 5; 3; 2; -10; 9; -1}; {1; 4; 1; -2; -8; 3}; {2; 3; -1; -2}}
11a_61,{0; 2; {1; 5; 2; -1; -1; 2; -1}; {0; 4; 1; 2; -3; -1; 3}; {1; 3; -1; -3; -2}}
11a_62,{0; 4; {-5; -2; -3; 6; -5; 3}; {-5; -2; -4; 14; -11; 7}; {-5; -2; -1; 10; -12; 5}; {-4; -2; 2; -6; 1}; {-3; -3; -1}}
11a_63,{0; 3; {-5; -1; -2; 3; -1; 0; 1}; {-5; -1; -1; 5; -1; 0; 2}; {-4; -1; 2; -2; -2; 1}; {-3; -2; -1; -1}}
11a_64,{0; 3; {-5; -1; -1; 0; 3; -3; 2}; {-5; -1; -1; 3; 3; -4; 3}; {-4; -1; 2; -1; -3; 1}; {-3; -2; -1; -1}}
11a_65,{0; 2; {-5; 0; -1; 1; 0; 1; -1; 1}; {-4; 0; 2; 0; 1; -1; 1}; {-3; -1; -1; -1; -1}}
11a_66,{0; 4; {-3; 0; -2; 4; -2; 1}; {-3; 0; -3; 10; -7; 2}; {-3; 0; -1; 8; -9; 3}; {-2; 0; 2; -5; 1}; {-1; -1; -1}}
11a_67,{0; 3; {-3; 1; -1; 1; 2; -2; 1}; {-3; 1; -1; 3; 1; -3; 1}; {-2; 1; 2; -1; -2; 1}; {-1; 0; -1; -1}}
11a_68,{0; 4; {-1; 2; -1; 2; 1; -1}; {-1; 2; -3; 8; -4; 1}; {-1; 2; -1; 8; -8; 3}; {0; 2; 2; -5; 1}; {1; 1; -1}}
11a_69,{0; 3; {-1; 1; -1; 3; -1}; {-2; 2; -1; 1; 3; -3; 1}; {-1; 2; 2; 0; -2; 1}; {0; 1; -1; -1}}
11a_70,{0; 3; {-1; 2; 1; 0; -1; 1}; {-1; 2; 1; -2; -2; 1}; {0; 3; -2; 0; 1; -1}; {1; 2; 1; 1}}
11a_71,{0; 4; {0; 0; 1}; {0; 3; 3; -7; 5; -1}; {0; 3; 3; -10; 6; -1}; {0; 2; 1; -5; 2}; {1; 1; -1}}
11a_72,{0; 4; {-1; 2; -1; 2; 1; -1}; {-1; 2; -3; 8; -4; 1}; {-1; 2; -3; 10; -6; 1}; {-1; 1; -1; 5; -2}; {0; 0; 1}}
11a_73,{0; 4; {-2; 1; -1; 3; -2; 1}; {-2; -1; 1; -1}; {-2; 1; 1; -5; 5; -2}; {-1; 1; -2; 4; -1}; {0; 0; 1}}
11a_74,{0; 4; {0; 3; 4; -7; 5; -1}; {0; 3; 4; -15; 13; -4}; {0; 3; 1; -10; 13; -4}; {1; 3; -2; 6; -1}; {2; 2; 1}}
11a_75,{0; 3; {-1; 2; 2; -2; 0; 1}; {-1; 3; 1; -5; 0; 3; -2}; {0; 3; -2; 2; 3; -1}; {1; 2; 1; 1}}
11a_76,{0; 4; {-2; 1; 1; -3; 4; -1}; {-2; 1; 2; -8; 9; -3}; {-2; 1; 1; -7; 10; -3}; {-1; 1; -2; 5; -1}; {0; 0; 1}}
11a_77,{0; 3; {-2; -1; -1; 2}; {-4; 0; 1; -2; 0; 3; -1}; {-3; 0; -2; 1; 2; -1}; {-2; -1; 1; 1}}
11a_78,{0; 3; {-1; 1; 1; -1; 1}; {-1; 3; 1; -3; 0; 2; -1}; {0; 3; -2; 1; 2; -1}; {1; 2; 1; 1}}
11a_79,{0; 4; {-3; 0; -1; 3; -3; 2}; {-3; 0; -2; 8; -9; 3}; {-3; 0; -1; 7; -10; 3}; {-2; 0; 2; -5; 1}; {-1; -1; -1}}
11a_80,{0; 4; {-2; 1; 1; -1; 0; 1}; {-2; 1; 2; -7; 5; -2}; {-2; 1; 1; -7; 9; -3}; {-1; 1; -2; 5; -1}; {0; 0; 1}}
11a_81,{0; 4; {0; 0; 1}; {-1; 2; -2; 6; -6; 2}; {-1; 2; -1; 7; -9; 3}; {0; 2; 2; -5; 1}; {1; 1; -1}}
11a_82,{0; 4; {-2; 1; 2; -6; 7; -2}; {-2; 1; 5; -15; 13; -3}; {-2; 1; 4; -14; 9; -1}; {-2; 0; 1; -6; 2}; {-1; -1; -1}}
11a_83,{0; 4; {1; 4; -2; 8; -6; 1}; {1; 4; -5; 18; -11; 2}; {1; 4; -4; 15; -8; 1}; {1; 3; -1; 6; -2}; {2; 2; 1}}
11a_84,{0; 3; {-2; 2; 1; -1; -1; 3; -1}; {-2; 2; 2; -4; -2; 4; -1}; {-2; 1; 1; -3; -2; 2}; {-1; 0; -1; -1}}
11a_85,{0; 3; {0; 3; -1; 3; 0; -1}; {0; 4; -2; 5; 2; -3; 1}; {0; 3; -1; 3; 2; -2}; {1; 2; 1; 1}}
11a_86,{0; 4; {-1; 2; -1; 5; -5; 2}; {-1; 2; -3; 12; -15; 5}; {-1; 2; -1; 9; -14; 4}; {0; 2; 2; -6; 1}; {1; 1; -1}}
11a_87,{0; 3; {0; 2; 3; -4; 2}; {-2; 2; -1; 2; 1; -6; 2}; {-1; 2; 2; -1; -3; 1}; {0; 1; -1; -1}}
